source,target,relationship
n1,n2,community
n3,n2,community
n4,n5,community
n4,n6,community
n4,n7,emotion
n4,n8,emotion
n9,n5,community
n9,n6,community
n9,n7,emotion
n9,n8,emotion
n10,n2,community
n10,n11,community
n10,n7,emotion
n10,n8,emotion
n10,n12,emotion
n13,n2,community
n13,n11,community
n13,n7,emotion
n13,n8,emotion
n13,n12,emotion
n1,n5,community
n1,n6,community
n14,n5,community
n14,n6,community
n15,n5,community
n15,n6,community
n16,n5,community
n16,n6,community
n17,n5,community
n17,n6,community
n18,n5,community
n18,n6,community
n19,n5,community
n19,n6,community
n9,n5,community
n9,n6,community
n20,n5,community
n20,n6,community
n21,n2,community
n21,n22,community
n21,n6,community
n21,n23,community
n21,n24,emotion
n21,n25,emotion
n21,n26,emotion
n21,n12,emotion
n4,n2,community
n4,n22,community
n4,n6,community
n4,n23,community
n4,n24,emotion
n4,n25,emotion
n4,n26,emotion
n4,n12,emotion
n20,n2,community
n20,n22,community
n20,n6,community
n20,n23,community
n20,n24,emotion
n20,n25,emotion
n20,n26,emotion
n20,n12,emotion
n27,n2,community
n27,n22,community
n27,n6,community
n27,n23,community
n27,n24,emotion
n27,n25,emotion
n27,n26,emotion
n27,n12,emotion
n28,n6,community
n28,n7,emotion
n28,n8,emotion
n1,n6,community
n1,n7,emotion
n1,n8,emotion
n29,n6,community
n29,n7,emotion
n29,n8,emotion
n15,n6,community
n15,n7,emotion
n15,n8,emotion
n4,n6,community
n4,n7,emotion
n4,n8,emotion
n10,n2,community
n10,n11,community
n10,n24,emotion
n10,n7,emotion
n13,n2,community
n13,n11,community
n13,n24,emotion
n13,n7,emotion
n9,n2,community
n9,n7,emotion
n9,n8,emotion
n9,n12,emotion
n15,n2,community
n15,n7,emotion
n15,n8,emotion
n15,n12,emotion
n21,n2,community
n21,n7,emotion
n21,n8,emotion
n21,n12,emotion
n1,n2,community
n1,n30,community
n1,n23,community
n1,n7,emotion
n1,n8,emotion
n31,n2,community
n31,n30,community
n31,n23,community
n31,n7,emotion
n31,n8,emotion
n32,n2,community
n32,n30,community
n32,n23,community
n32,n7,emotion
n32,n8,emotion
n10,n22,community
n4,n22,community
n15,n2,community
n15,n33,community
n15,n34,emotion
n15,n8,emotion
n15,n26,emotion
n1,n2,community
n1,n33,community
n1,n34,emotion
n1,n8,emotion
n1,n26,emotion
n1,n2,community
n1,n33,community
n1,n34,emotion
n1,n8,emotion
n1,n26,emotion
n35,n36,community
n35,n37,community
n35,n38,emotion
n20,n5,community
n20,n2,community
n20,n24,emotion
n20,n7,emotion
n39,n5,community
n39,n2,community
n39,n24,emotion
n39,n7,emotion
n40,n5,community
n40,n2,community
n40,n24,emotion
n40,n7,emotion
n13,n2,community
n13,n41,community
n13,n23,community
n13,n24,emotion
n13,n25,emotion
n13,n26,emotion
n42,n2,community
n42,n41,community
n42,n23,community
n42,n24,emotion
n42,n25,emotion
n42,n26,emotion
n19,n2,community
n19,n41,community
n19,n23,community
n19,n24,emotion
n19,n25,emotion
n19,n26,emotion
n10,n2,community
n13,n2,community
n13,n2,community
n13,n43,community
n13,n24,emotion
n13,n7,emotion
n13,n12,emotion
n13,n25,emotion
n20,n2,community
n20,n43,community
n20,n24,emotion
n20,n7,emotion
n20,n12,emotion
n20,n25,emotion
n3,n2,community
n3,n24,emotion
n9,n2,community
n9,n24,emotion
n10,n2,community
n44,n2,community
n44,n43,community
n44,n7,emotion
n44,n8,emotion
n14,n2,community
n14,n43,community
n14,n7,emotion
n14,n8,emotion
n10,n45,community
n10,n43,community
n10,n34,emotion
n10,n46,emotion
n47,n45,community
n47,n43,community
n47,n34,emotion
n47,n46,emotion
n48,n41,community
n48,n23,community
n1,n41,community
n1,n23,community
n9,n2,community
n9,n49,community
n9,n7,emotion
n9,n8,emotion
n50,n2,community
n50,n49,community
n50,n7,emotion
n50,n8,emotion
n21,n51,community
n21,n7,emotion
n21,n8,emotion
n21,n12,emotion
n21,n51,community
n21,n7,emotion
n21,n8,emotion
n21,n12,emotion
n52,n51,community
n52,n7,emotion
n52,n8,emotion
n52,n12,emotion
n14,n2,community
n14,n53,community
n14,n11,community
n14,n43,community
n14,n54,resource
n14,n55,resource
n14,n56,resource
n14,n57,resource
n14,n34,emotion
n14,n58,emotion
n14,n24,emotion
n14,n25,emotion
n14,n7,emotion
n14,n8,emotion
n9,n2,community
n9,n53,community
n9,n11,community
n9,n43,community
n9,n54,resource
n9,n55,resource
n9,n56,resource
n9,n57,resource
n9,n34,emotion
n9,n58,emotion
n9,n24,emotion
n9,n25,emotion
n9,n7,emotion
n9,n8,emotion
n15,n2,community
n15,n53,community
n15,n11,community
n15,n43,community
n15,n54,resource
n15,n55,resource
n15,n56,resource
n15,n57,resource
n15,n34,emotion
n15,n58,emotion
n15,n24,emotion
n15,n25,emotion
n15,n7,emotion
n15,n8,emotion
n16,n2,community
n16,n53,community
n16,n11,community
n16,n43,community
n16,n54,resource
n16,n55,resource
n16,n56,resource
n16,n57,resource
n16,n34,emotion
n16,n58,emotion
n16,n24,emotion
n16,n25,emotion
n16,n7,emotion
n16,n8,emotion
n59,n2,community
n59,n53,community
n59,n11,community
n59,n43,community
n59,n54,resource
n59,n55,resource
n59,n56,resource
n59,n57,resource
n59,n34,emotion
n59,n58,emotion
n59,n24,emotion
n59,n25,emotion
n59,n7,emotion
n59,n8,emotion
n10,n2,community
n10,n53,community
n10,n23,community
n10,n34,emotion
n10,n58,emotion
n10,n26,emotion
n14,n2,community
n14,n53,community
n14,n23,community
n14,n34,emotion
n14,n58,emotion
n14,n26,emotion
n9,n2,community
n9,n11,community
n9,n7,emotion
n9,n8,emotion
n60,n2,community
n60,n11,community
n60,n7,emotion
n60,n8,emotion
n61,n62,community
n61,n2,community
n63,n62,community
n63,n2,community
n10,n2,community
n64,n2,community
n64,n65,community
n64,n24,emotion
n64,n7,emotion
n64,n12,emotion
n9,n2,community
n9,n65,community
n9,n24,emotion
n9,n7,emotion
n9,n12,emotion
n47,n2,community
n47,n65,community
n47,n24,emotion
n47,n7,emotion
n47,n12,emotion
n1,n2,community
n1,n11,community
n1,n34,emotion
n1,n58,emotion
n1,n24,emotion
n1,n25,emotion
n1,n7,emotion
n1,n8,emotion
n14,n2,community
n14,n11,community
n14,n34,emotion
n14,n58,emotion
n14,n24,emotion
n14,n25,emotion
n14,n7,emotion
n14,n8,emotion
n21,n2,community
n21,n11,community
n21,n34,emotion
n21,n58,emotion
n21,n24,emotion
n21,n25,emotion
n21,n7,emotion
n21,n8,emotion
n4,n2,community
n4,n11,community
n4,n34,emotion
n4,n58,emotion
n4,n24,emotion
n4,n25,emotion
n4,n7,emotion
n4,n8,emotion
n13,n2,community
n13,n11,community
n13,n34,emotion
n13,n58,emotion
n13,n24,emotion
n13,n25,emotion
n13,n7,emotion
n13,n8,emotion
n20,n2,community
n20,n11,community
n20,n34,emotion
n20,n58,emotion
n20,n24,emotion
n20,n25,emotion
n20,n7,emotion
n20,n8,emotion
n66,n2,community
n66,n12,emotion
n67,n2,community
n67,n12,emotion
n68,n2,community
n68,n11,community
n68,n8,emotion
n68,n7,emotion
n19,n2,community
n19,n11,community
n19,n8,emotion
n19,n7,emotion
