source,target,relationship
n1,n2,affects
n1,n3,affects
n1,n4,evokes
n1,n5,evokes
n6,n2,affects
n6,n3,affects
n6,n4,evokes
n6,n5,evokes
n1,n2,affects
n7,n2,affects
n8,n2,affects
n9,n2,affects
n1,n2,affects
n1,n3,affects
n1,n10,evokes
n1,n11,evokes
n1,n12,evokes
n1,n13,evokes
n1,n14,evokes
n15,n2,affects
n15,n3,affects
n15,n10,evokes
n15,n11,evokes
n15,n12,evokes
n15,n13,evokes
n15,n14,evokes
n16,n2,affects
n16,n3,affects
n16,n10,evokes
n16,n11,evokes
n16,n12,evokes
n16,n13,evokes
n16,n14,evokes
n1,n2,affects
n1,n4,evokes
n7,n2,affects
n7,n4,evokes
n17,n18,affects
n17,n19,affects
n17,n20,evokes
n21,n18,affects
n21,n19,affects
n21,n20,evokes
n16,n22,affects
n16,n2,affects
n16,n10,evokes
n16,n11,evokes
n23,n2,affects
n23,n10,evokes
n23,n11,evokes
n16,n2,affects
n16,n10,evokes
n16,n11,evokes
n1,n2,affects
n1,n10,evokes
n1,n11,evokes
n1,n2,affects
n24,n22,affects
n24,n25,evokes
n24,n4,evokes
n24,n22,affects
n24,n25,evokes
n24,n4,evokes
n15,n26,affects
n15,n2,affects
n15,n4,evokes
n15,n14,evokes
n24,n26,affects
n24,n2,affects
n24,n4,evokes
n24,n14,evokes
n16,n2,affects
n16,n27,affects
n16,n13,evokes
n16,n14,evokes
n28,n2,affects
n28,n27,affects
n28,n13,evokes
n28,n14,evokes
n1,n2,affects
n1,n3,affects
n1,n29,affects
n1,n4,evokes
n1,n14,evokes
n1,n13,evokes
n16,n2,affects
n16,n3,affects
n16,n29,affects
n16,n4,evokes
n16,n14,evokes
n16,n13,evokes
n1,n2,affects
n1,n30,evokes
n1,n31,evokes
n9,n2,affects
n9,n29,affects
n9,n22,affects
n9,n13,evokes
n9,n14,evokes
n16,n2,affects
n16,n29,affects
n16,n22,affects
n16,n13,evokes
n16,n14,evokes
n32,n2,affects
n32,n29,affects
n32,n22,affects
n32,n13,evokes
n32,n14,evokes
n33,n2,affects
n33,n29,affects
n33,n22,affects
n33,n13,evokes
n33,n14,evokes
n1,n2,affects
n24,n2,affects
n24,n12,evokes
n24,n13,evokes
